设备ID,有功功率,无功功率
16,0.51819375,0.4871625
17,0.41930625,0.36489375
18,0.3867625,0.36075
19,0.000766667,0.000633333
20,0.42728,0.38898
21,0.000328,0.00024
22,0.4184,0.39726
23,0.45944,0.42924
24,0.0009875,0.00074375
1,0.410433333,0.352733333
2,0.000225,0.0001625
3,0.518617143,0.481657143
4,0.45664375,0.4181
5,0.5966075,0.561925
6,0.6146,0.569722857
7,0.436208,0.408552
8,0.49553,0.43633
9,0.38342,0.35842
10,0.44595,0.40405
11,0.6554625,0.5858625
12,0.39361,0.3542525
13,0.000216667,0.00012
14,0.4853,0.4273
15,0.36794375,0.3392625
16,0.645075,0.5561875
17,0.4316625,0.40885
18,0.4835375,0.4207125
19,0.001,0.000933333
20,0.48192,0.44228
21,0.000448,0.000344
22,0.44269,0.3931
23,0.49562,0.459
24,0.0000625,0.00004375
1,0.395833333,0.363966667
2,0.0001875,0.00011875
3,0.49356,0.433694286
4,0.44083125,0.41486875
5,0.5471225,0.486945
6,0.5065,0.472877143
7,0.403888,0.3562
8,0.42547,0.37337
9,0.42612,0.39044
10,0.4877375,0.419475
11,0.5388375,0.479075
12,0.4912325,0.45395
13,0.00076,0.000323333
14,0.4791,0.420066667
15,0.3895,0.33146875
16,0.57845,0.49996875
17,0.48101875,0.45695
18,0.440325,0.4105
19,0.000233333,0.000166667
20,0.47194,0.44522
21,0.000952,0.000776
22,0.43431,0.39127
23,0.45988,0.40622
24,0.0007375,0.00045625
1,0.438666667,0.386933333
2,0.00076875,0.00055
3,0.486037143,0.447277143
4,0.452925,0.4243
5,0.53724,0.48144
6,0.530925714,0.485142857
7,0.384096,0.329632
8,0.41152,0.38063
9,0.40208,0.35766
10,0.4636625,0.40805625
11,0.5503875,0.484975
12,0.4236925,0.36714
13,1.33333E-05,6.66667E-06
14,0.464133333,0.402766667
15,0.410275,0.37991875
16,0.49018125,0.431975
17,0.445875,0.3913625
18,0.3871375,0.32925
19,0.000266667,0.000166667
20,0.48746,0.41544
21,0.000784,0.000504
22,0.37602,0.34923
23,0.44654,0.37976
24,0.0003625,0.00026875
1,0.466033333,0.405666667
2,0.0004875,0.000375
3,0.530645714,0.503197143
4,0.43818125,0.4107125
5,0.52254,0.48233
6,0.49904,0.431862857
7,0.412232,0.384264
8,0.43632,0.40087
9,0.42428,0.38624
10,0.42129375,0.36208125
11,0.6236375,0.5571375
12,0.3997675,0.3772675
13,0.000536667,0.00024
14,0.395366667,0.360733333
15,0.3747125,0.345625
16,0.63838125,0.5550875
17,0.407325,0.34678125
18,0.4023625,0.3490625
19,0,0
20,0.42608,0.38718
21,0.000552,0.000448
22,0.49535,0.43848
23,0.47452,0.42158
24,0.0009125,0.0008375
1,0.447466667,0.419666667
2,6.875E-05,0.0000625
3,0.558034286,0.525262857
4,0.42878125,0.36690625
5,0.5479075,0.4729525
6,0.585117143,0.545534286
7,0.423112,0.378888
8,0.38542,0.34454
9,0.38506,0.35708
10,0.43321875,0.39851875
11,0.4979,0.4353375
12,0.42484,0.3699775
13,0.263853333,0.132613333
14,0.503633333,0.433266667
15,0.45254375,0.4222625
16,0.60335625,0.5544125
17,0.48741875,0.4558
18,0.463325,0.402825
19,0.000833333,0.000766667
20,0.44824,0.41792
21,0.000088,7.2E-05
22,0.4762,0.42183
23,0.38562,0.34892
24,0.00075,0.0007
1,0.390133333,0.333433333
2,0.00065,0.00041875
3,0.618725714,0.533654286
4,0.44606875,0.41828125
5,0.4608825,0.42226
6,0.583154286,0.519591429
7,0.452824,0.416096
8,0.42934,0.38133
9,0.44824,0.41538
10,0.40701875,0.35285625
11,0.6057625,0.559625
